log_q,log_p,log_y,share,log_hhsize,log_driver,log_hhr_age,total_wrkr,publictransit_d,cl5_smtown_d,cl5_suburban_d,cl5_secondcity_d,cl5_urban_d,popdensity_d2,popdensity_d3,popdensity_d4,popdensity_d5,popdensity_d6,popdensity_d7,popdensity_d8,state_fips,distance_oil1000
8.1435452,.22980732,9.4334841,.34641027,1.6094379,1.3862944,3.4657359,3,0,0,0,1,0,0,0,1,0,0,0,0,AL,.65708768
8.0349722,.22990915,11.119883,.057555709,1.0986123,.69314718,3.6109178,1,0,0,0,1,0,0,0,0,1,0,0,0,AL,.65708768
7.6082349,.22982599,10.768485,.053374391,1.0986123,.69314718,3.2580965,2,0,1,0,0,0,0,1,0,0,0,0,0,AL,.65708768
7.452868,.22980712,11.695247,.018086817,1.0986123,.69314718,3.4657359,2,0,1,0,0,0,1,0,0,0,0,0,0,AL,.65708768
7.8074541,.22978619,11.695247,.025783859,1.3862944,1.0986123,3.9318256,2,0,1,0,0,0,1,0,0,0,0,0,0,AL,.65708768
7.6964664,.22990376,11.191341,.03819802,1.3862944,.69314718,3.6109178,2,0,0,1,0,0,0,0,1,0,0,0,0,AL,.65708768
6.9479775,.22975436,9.7699566,.074853353,1.3862944,.69314718,3.5263605,2,0,1,0,0,0,1,0,0,0,0,0,0,AL,.65708768
7.1893845,.22999138,10.95954,.029008556,1.3862944,.69314718,3.2580965,2,0,1,0,0,0,0,1,0,0,0,0,0,AL,.65708768
7.2861052,.22975786,11.695247,.015307932,1.0986123,.69314718,3.583519,2,0,1,0,0,0,0,1,0,0,0,0,0,AL,.65708768
7.4288459,.2297086,10.95954,.036846831,1.3862944,.69314718,3.7612002,2,0,1,0,0,0,1,0,0,0,0,0,0,AL,.65708768
6.6855211,.22936775,9.7699566,.057551946,1.0986123,.69314718,4.3307333,1,0,0,1,0,0,0,0,0,0,1,0,0,AL,.65708768
5.8576179,.22974025,9.7699566,.025157526,1.3862944,.69314718,3.0910425,1,0,0,1,0,0,0,0,1,0,0,0,0,AL,.65708768
6.3631005,.22980845,9.7699566,.041708622,1.3862944,.69314718,3.2188759,2,0,1,0,0,0,1,0,0,0,0,0,0,AL,.65708768
7.1800876,.22966275,11.407565,.018355709,1.0986123,.69314718,3.4339871,2,0,1,0,0,0,0,0,1,0,0,0,0,AL,.65708768
7.802073,.22986236,11.695247,.025647435,1.0986123,.69314718,3.7376697,2,0,0,1,0,0,0,0,0,1,0,0,0,AL,.65708768
7.6693087,.22977179,11.695247,.022456691,1.7917595,1.3862944,3.7612002,1,0,1,0,0,0,0,0,1,0,0,0,0,AL,.65708768
6.750773,.22990745,11.119883,.015935557,1.3862944,.69314718,3.7612002,1,0,1,0,0,0,1,0,0,0,0,0,0,AL,.65708768
7.1413455,.22963223,10.532096,.042378318,1.0986123,.69314718,3.3322046,2,0,1,0,0,0,1,0,0,0,0,0,0,AL,.65708768
7.6232538,.22975653,11.695247,.021445584,1.3862944,1.0986123,2.8903718,2,0,1,0,0,0,1,0,0,0,0,0,0,AL,.65708768
6.8919148,.22970168,11.407565,.013760562,1.3862944,.69314718,3.713572,0,0,0,0,1,0,0,0,0,1,0,0,0,AL,.65708768
6.558198,.22965792,10.95954,.015426253,1.0986123,.69314718,3.3322046,2,0,1,0,0,0,1,0,0,0,0,0,0,AL,.65708768
6.5217276,.22956364,11.407565,.0095018009,1.3862944,1.3862944,3.9120231,1,0,1,0,0,0,0,0,0,1,0,0,0,AL,.65708768
6.964819,.22963868,11.695247,.011100233,1.6094379,.69314718,3.713572,2,0,0,0,1,0,0,0,0,0,1,0,0,AL,.65708768
7.540132,.22973399,10.768485,.049855866,1.3862944,1.0986123,2.8903718,3,0,1,0,0,0,1,0,0,0,0,0,0,AL,.65708768
6.8012304,.22955179,10.657259,.026609764,1.0986123,.69314718,3.9318256,1,0,0,0,1,0,0,0,0,1,0,0,0,AL,.65708768
6.4829044,.22954221,11.258033,.010613943,1.0986123,.69314718,3.4657359,2,0,0,0,1,0,0,0,0,1,0,0,0,AL,.65708768
7.2256227,.22966664,10.768485,.036399659,1.0986123,.69314718,3.6635616,2,0,1,0,0,0,1,0,0,0,0,0,0,AL,.65708768
